campaign,nprocs,replicate,stage,event,count_max,count_min,time_rank0
weak-scaling-2026-BASE24-container2,1,1,error_analysis,BuildTwoSided,3,3,8.292e-06
weak-scaling-2026-BASE24-container2,1,1,error_analysis,DMPlexIntegralFE,2,2,1.15704
weak-scaling-2026-BASE24-container2,1,1,error_analysis,Integral.__init__,2,2,8.744e-05
weak-scaling-2026-BASE24-container2,1,1,error_analysis,Integral.evaluate,2,2,1.2554
weak-scaling-2026-BASE24-container2,1,1,error_analysis,Mesh.update_lvec,2,2,0.0723457
weak-scaling-2026-BASE24-container2,1,1,error_analysis,SFBcastBegin,4,4,0.000625695
weak-scaling-2026-BASE24-container2,1,1,error_analysis,SFBcastEnd,4,4,3.665e-06
weak-scaling-2026-BASE24-container2,1,1,error_analysis,SFPack,8,8,1.063e-06
weak-scaling-2026-BASE24-container2,1,1,error_analysis,SFSetGraph,5,5,0.0048971
weak-scaling-2026-BASE24-container2,1,1,error_analysis,SFSetUp,3,3,0.00360719
weak-scaling-2026-BASE24-container2,1,1,error_analysis,SFUnpack,8,8,8.69e-07
weak-scaling-2026-BASE24-container2,1,1,error_analysis,VecScatterBegin,4,4,0.00126501
weak-scaling-2026-BASE24-container2,1,1,error_analysis,VecScatterEnd,4,4,5.634e-06
weak-scaling-2026-BASE24-container2,1,1,error_analysis,evaluate,1,1,0.220769
weak-scaling-2026-BASE24-container2,1,1,error_analysis,generate_c_source,2,2,0.00198486
weak-scaling-2026-BASE24-container2,1,1,error_analysis,getext,2,2,0.0168212
weak-scaling-2026-BASE24-container2,1,1,first_solve,  GAMG MIS/Agg,2,2,0.772511
weak-scaling-2026-BASE24-container2,1,1,first_solve,  GAMG Prol-col,2,2,0.000149075
weak-scaling-2026-BASE24-container2,1,1,first_solve,  GAMG Prol-lift,2,2,0.00626302
weak-scaling-2026-BASE24-container2,1,1,first_solve,  GAMG PtAP,2,2,0.752003
weak-scaling-2026-BASE24-container2,1,1,first_solve,  GAMG smooth,4,4,0.138826
weak-scaling-2026-BASE24-container2,1,1,first_solve, GAMG Coarsen,4,4,0.786774
weak-scaling-2026-BASE24-container2,1,1,first_solve, PCGAMGCreateG,2,2,0.126757
weak-scaling-2026-BASE24-container2,1,1,first_solve, PCGAMGCreateL,2,2,0.752007
weak-scaling-2026-BASE24-container2,1,1,first_solve, PCGAMGOptProl,2,2,0.196961
weak-scaling-2026-BASE24-container2,1,1,first_solve, PCGAMGProl,2,2,0.00671475
weak-scaling-2026-BASE24-container2,1,1,first_solve,BuildTwoSided,4,4,1.0025e-05
weak-scaling-2026-BASE24-container2,1,1,first_solve,DMCreateMat,1,1,2.01322
weak-scaling-2026-BASE24-container2,1,1,first_solve,DMPlexInterp,4,4,0.000227266
weak-scaling-2026-BASE24-container2,1,1,first_solve,DMPlexJacobianFE,1,1,2.3304
weak-scaling-2026-BASE24-container2,1,1,first_solve,DMPlexPrealloc,1,1,2.00522
weak-scaling-2026-BASE24-container2,1,1,first_solve,DMPlexResidualFE,1,1,1.17442
weak-scaling-2026-BASE24-container2,1,1,first_solve,DMPlexStratify,7,7,0.000107769
weak-scaling-2026-BASE24-container2,1,1,first_solve,DMPlexSymmetrize,7,7,3.808e-06
weak-scaling-2026-BASE24-container2,1,1,first_solve,DualSpaceSetUp,1,1,0.000506878
weak-scaling-2026-BASE24-container2,1,1,first_solve,FESetUp,1,1,4.8399e-05
weak-scaling-2026-BASE24-container2,1,1,first_solve,KSPGMRESOrthog,30,30,0.0136207
weak-scaling-2026-BASE24-container2,1,1,first_solve,KSPSetUp,1,1,0.000762513
weak-scaling-2026-BASE24-container2,1,1,first_solve,KSPSolve,1,1,0.164688
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatAXPY,6,6,0.0745098
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatAssemblyBegin,29,29,5.814e-06
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatAssemblyEnd,29,29,0.00561924
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatCoarsen,2,2,0.0108084
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatConvert,2,2,0.0115992
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatCreateGraph,2,2,0.126753
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatGetOrdering,1,1,2.134e-05
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatGetRowIJ,1,1,1.456e-06
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatGetSymTransR,2,2,0.00316998
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatLUFactorNum,1,1,8.481e-06
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatLUFactorSym,1,1,1.505e-05
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatMatMultNum,4,4,0.0515743
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatMatMultSym,4,4,0.0696277
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatMult,24800,24800,0.150724
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatMultAdd,22,22,0.0140387
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatMultTranspose,22,22,0.0165912
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatPtAPNumeric,2,2,0.554925
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatPtAPSymbolic,2,2,0.197053
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatScale,10,10,0.0072388
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatSolve,11,11,3.0334e-05
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatTranspose,3,3,0.0460497
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatTrnMatMultSym,1,1,0.761655
weak-scaling-2026-BASE24-container2,1,1,first_solve,MatZeroEntries,1,1,0.00208786
weak-scaling-2026-BASE24-container2,1,1,first_solve,Mesh.update_lvec,1,1,0.172534
weak-scaling-2026-BASE24-container2,1,1,first_solve,PCApply,11,11,0.118338
weak-scaling-2026-BASE24-container2,1,1,first_solve,PCApplyOnBlocks,11,11,8.9541e-05
weak-scaling-2026-BASE24-container2,1,1,first_solve,PCGAMG Gal l00,1,1,0.743911
weak-scaling-2026-BASE24-container2,1,1,first_solve,PCGAMG Gal l01,1,1,0.00809084
weak-scaling-2026-BASE24-container2,1,1,first_solve,PCGAMG Opt l00,2,2,0.116248
weak-scaling-2026-BASE24-container2,1,1,first_solve,PCGAMG Opt l01,2,2,0.0050031
weak-scaling-2026-BASE24-container2,1,1,first_solve,PCGAMG Squ l00,1,1,0.761657
weak-scaling-2026-BASE24-container2,1,1,first_solve,PCSetUp,1,1,1.87862
weak-scaling-2026-BASE24-container2,1,1,first_solve,PCSetUpOnBlocks,11,11,0.000121772
weak-scaling-2026-BASE24-container2,1,1,first_solve,PCSetUp_GAMG+,1,1,1.87861
weak-scaling-2026-BASE24-container2,1,1,first_solve,SFBcastBegin,4,4,0.000679009
weak-scaling-2026-BASE24-container2,1,1,first_solve,SFBcastEnd,4,4,3.689e-06
weak-scaling-2026-BASE24-container2,1,1,first_solve,SFPack,9,9,1.049e-06
weak-scaling-2026-BASE24-container2,1,1,first_solve,SFReduceBegin,1,1,7.267e-05
weak-scaling-2026-BASE24-container2,1,1,first_solve,SFReduceEnd,1,1,1.409e-06
weak-scaling-2026-BASE24-container2,1,1,first_solve,SFSetGraph,7,7,0.0077714
weak-scaling-2026-BASE24-container2,1,1,first_solve,SFSetUp,4,4,0.00578966
weak-scaling-2026-BASE24-container2,1,1,first_solve,SFUnpack,9,9,9.45e-07
weak-scaling-2026-BASE24-container2,1,1,first_solve,SNESFunctionEval,1,1,2.13761
weak-scaling-2026-BASE24-container2,1,1,first_solve,SNESJacobianEval,1,1,3.30517
weak-scaling-2026-BASE24-container2,1,1,first_solve,SNESSetUp,1,1,2.01328
weak-scaling-2026-BASE24-container2,1,1,first_solve,SNESSolve,1,1,7.487
weak-scaling-2026-BASE24-container2,1,1,first_solve,SNES_Scalar._setup_discretisation,1,1,0.0119634
weak-scaling-2026-BASE24-container2,1,1,first_solve,SNES_Scalar._setup_pointwise_functions,1,1,0.0561613
weak-scaling-2026-BASE24-container2,1,1,first_solve,SNES_Scalar._setup_solver,1,1,0.202981
weak-scaling-2026-BASE24-container2,1,1,first_solve,SNES_Scalar.solve,1,1,10.9954
weak-scaling-2026-BASE24-container2,1,1,first_solve,SolverBaseClass._build,1,1,0.271281
weak-scaling-2026-BASE24-container2,1,1,first_solve,VecAXPBYCZ,44,44,0.00166253
