campaign,site,model,nprocs,res,replicate,ranks_per_node
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,1,24,1,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,1,24,2,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,1,24,3,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,8,48,1,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,8,48,2,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,8,48,3,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,27,72,1,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,27,72,2,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,27,72,3,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,64,96,1,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,64,96,2,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,64,96,3,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,125,120,1,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,125,120,2,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,125,120,3,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,343,168,1,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,343,168,2,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,343,168,3,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,1000,240,1,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,1000,240,2,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,1000,240,3,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,2197,312,1,
weak-scaling-2026-BASE24-container2,gadi,poisson-scaling,2197,312,2,
weak-scaling-2026-poisson-analytic,gadi,poisson-scaling,1,24,1,
weak-scaling-2026-poisson-analytic,gadi,poisson-scaling,1,24,2,
weak-scaling-2026-poisson-analytic,gadi,poisson-scaling,1,24,3,
weak-scaling-2026-poisson-analytic,gadi,poisson-scaling,125,120,1,
weak-scaling-2026-poisson-analytic,gadi,poisson-scaling,125,120,2,
weak-scaling-2026-poisson-analytic,gadi,poisson-scaling,125,120,3,
weak-scaling-2026-advdiff-BASE24,gadi,advdiff-scaling,1,24,1,1
weak-scaling-2026-advdiff-BASE24,gadi,advdiff-scaling,1,24,2,1
weak-scaling-2026-advdiff-BASE24,gadi,advdiff-scaling,8,48,1,8
weak-scaling-2026-advdiff-BASE24,gadi,advdiff-scaling,8,48,2,8
weak-scaling-2026-advdiff-BASE24,gadi,advdiff-scaling,27,72,1,27
weak-scaling-2026-advdiff-BASE24,gadi,advdiff-scaling,27,72,2,27
weak-scaling-2026-advdiff-BASE24,gadi,advdiff-scaling,64,96,1,48
weak-scaling-2026-advdiff-BASE24,gadi,advdiff-scaling,64,96,2,48
weak-scaling-2026-advdiff-BASE24,gadi,advdiff-scaling,125,120,1,48
weak-scaling-2026-advdiff-BASE24,gadi,advdiff-scaling,125,120,2,48
weak-scaling-2026-advdiff-BASE24,gadi,advdiff-scaling,343,168,1,48
weak-scaling-2026-advdiff-BASE24,gadi,advdiff-scaling,343,168,2,48
weak-scaling-2026-advdiff-BASE24,gadi,advdiff-scaling,1000,240,1,48
weak-scaling-2026-advdiff-meshindep,gadi,advdiff-scaling,1,24,1,1
weak-scaling-2026-advdiff-meshindep,gadi,advdiff-scaling,8,48,1,8
weak-scaling-2026-advdiff-meshindep,gadi,advdiff-scaling,64,96,1,48
weak-scaling-2026-checkpoint,gadi,checkpoint-scaling,1,24,1,1
weak-scaling-2026-checkpoint,gadi,checkpoint-scaling,1,24,2,1
