campaign,nprocs,replicate,stage,time,time_rank0,messages,reductions,flop
weak-scaling-2026-BASE24-container2,1,1,error_analysis,1.51288,1.51288,0.0,0.0,116595000.0
weak-scaling-2026-BASE24-container2,1,1,first_solve,10.9955,10.9955,0.0,0.0,1069940000.0
weak-scaling-2026-BASE24-container2,1,1,mesh_setup,10.3117,10.3117,0.0,9.0,35034600.0
weak-scaling-2026-BASE24-container2,1,1,solver_setup,0.924146,0.924146,0.0,0.0,0.0
weak-scaling-2026-BASE24-container2,1,1,steady_solves,7.21345,7.21345,0.0,0.0,1021420000.0
weak-scaling-2026-BASE24-container2,1,2,error_analysis,1.50713,1.50713,0.0,0.0,116595000.0
weak-scaling-2026-BASE24-container2,1,2,first_solve,11.1548,11.1548,0.0,0.0,1069940000.0
weak-scaling-2026-BASE24-container2,1,2,mesh_setup,10.5519,10.5519,0.0,9.0,35034600.0
weak-scaling-2026-BASE24-container2,1,2,solver_setup,0.925413,0.925413,0.0,0.0,0.0
weak-scaling-2026-BASE24-container2,1,2,steady_solves,7.22359,7.22359,0.0,0.0,1021420000.0
weak-scaling-2026-BASE24-container2,1,3,error_analysis,1.5029,1.5029,0.0,0.0,116595000.0
weak-scaling-2026-BASE24-container2,1,3,first_solve,10.952,10.952,0.0,0.0,1069940000.0
weak-scaling-2026-BASE24-container2,1,3,mesh_setup,10.2543,10.2543,0.0,9.0,35034600.0
weak-scaling-2026-BASE24-container2,1,3,solver_setup,0.922017,0.922017,0.0,0.0,0.0
weak-scaling-2026-BASE24-container2,1,3,steady_solves,7.19461,7.19461,0.0,0.0,1021420000.0
weak-scaling-2026-BASE24-container2,8,1,error_analysis,1.80885,1.80885,84.0,52.0,112632000.0
weak-scaling-2026-BASE24-container2,8,1,first_solve,14.4346,14.4228,3677.0,738.0,1118590000.0
weak-scaling-2026-BASE24-container2,8,1,mesh_setup,18.5604,18.5586,372.0,326.0,33874700.0
weak-scaling-2026-BASE24-container2,8,1,solver_setup,0.934098,0.934098,0.0,0.0,0.0
weak-scaling-2026-BASE24-container2,8,1,steady_solves,7.49362,7.49322,1933.0,189.0,1072560000.0
weak-scaling-2026-BASE24-container2,8,2,error_analysis,1.7971,1.7971,84.0,52.0,112632000.0
weak-scaling-2026-BASE24-container2,8,2,first_solve,14.3886,14.381,4384.0,742.0,1105540000.0
weak-scaling-2026-BASE24-container2,8,2,mesh_setup,18.8538,18.8532,355.0,326.0,33297300.0
weak-scaling-2026-BASE24-container2,8,2,solver_setup,0.935331,0.928737,0.0,0.0,0.0
weak-scaling-2026-BASE24-container2,8,2,steady_solves,7.46942,7.46895,1863.0,189.0,1050000000.0
weak-scaling-2026-BASE24-container2,8,3,error_analysis,1.80095,1.80095,84.0,52.0,112632000.0
weak-scaling-2026-BASE24-container2,8,3,first_solve,14.3934,14.3866,4055.0,738.0,1114010000.0
weak-scaling-2026-BASE24-container2,8,3,mesh_setup,19.22,19.2187,367.0,326.0,33054200.0
weak-scaling-2026-BASE24-container2,8,3,solver_setup,0.926689,0.92415,0.0,0.0,0.0
weak-scaling-2026-BASE24-container2,8,3,steady_solves,7.42814,7.4278,1863.0,189.0,1050000000.0
weak-scaling-2026-BASE24-container2,27,1,error_analysis,2.23772,2.23772,60.0,52.0,112900000.0
weak-scaling-2026-BASE24-container2,27,1,first_solve,16.3614,16.3482,6659.0,739.0,1146640000.0
weak-scaling-2026-BASE24-container2,27,1,mesh_setup,46.0068,46.0055,436.0,326.0,34020000.0
weak-scaling-2026-BASE24-container2,27,1,solver_setup,0.962747,0.94629,0.0,0.0,0.0
weak-scaling-2026-BASE24-container2,27,1,steady_solves,8.09741,8.09724,2393.0,189.0,1104550000.0
weak-scaling-2026-BASE24-container2,27,2,error_analysis,2.23177,2.23177,60.0,52.0,112900000.0
weak-scaling-2026-BASE24-container2,27,2,first_solve,16.5519,16.5211,5332.0,739.0,1148960000.0
weak-scaling-2026-BASE24-container2,27,2,mesh_setup,46.315,46.3137,349.0,326.0,32490700.0
weak-scaling-2026-BASE24-container2,27,2,solver_setup,0.963674,0.950664,0.0,0.0,0.0
weak-scaling-2026-BASE24-container2,27,2,steady_solves,8.15606,8.15569,3797.0,189.0,1057750000.0
weak-scaling-2026-BASE24-container2,27,3,error_analysis,2.24217,2.24217,60.0,52.0,112900000.0
weak-scaling-2026-BASE24-container2,27,3,first_solve,16.5329,16.5139,6659.0,739.0,1146640000.0
weak-scaling-2026-BASE24-container2,27,3,mesh_setup,46.1759,46.1746,349.0,326.0,32490700.0
weak-scaling-2026-BASE24-container2,27,3,solver_setup,0.973255,0.964836,0.0,0.0,0.0
weak-scaling-2026-BASE24-container2,27,3,steady_solves,8.14935,8.14926,1879.0,189.0,1055540000.0
weak-scaling-2026-BASE24-container2,64,1,error_analysis,3.17384,3.17384,168.0,52.0,112830000.0
weak-scaling-2026-BASE24-container2,64,1,first_solve,16.8904,16.8521,8067.0,748.0,1100340000.0
weak-scaling-2026-BASE24-container2,64,1,mesh_setup,109.044,109.042,439.0,326.0,31299300.0
weak-scaling-2026-BASE24-container2,64,1,solver_setup,0.985665,0.957399,0.0,0.0,0.0
weak-scaling-2026-BASE24-container2,64,1,steady_solves,8.19236,8.19191,4891.0,189.0,1055830000.0
weak-scaling-2026-BASE24-container2,64,2,error_analysis,3.10166,3.10166,168.0,52.0,112830000.0
